2024-07-23 07:14:42 status installed libnghttp2-14:amd64 1.52.0-1+deb12u1
2024-07-23 07:14:42 remove libnghttp2-14:amd64 1.52.0-1+deb12u1 <none>
2024-07-23 07:14:42 status half-configured libnghttp2-14:amd64 1.52.0-1+deb12u1
2024-07-23 07:14:42 status half-installed libnghttp2-14:amd64 1.52.0-1+deb12u1
2024-07-23 07:14:42 status config-files libnghttp2-14:amd64 1.52.0-1+deb12u1
2024-07-23 07:14:42 status not-installed libnghttp2-14:amd64 <none>
2024-07-23 07:14:42 status installed libpsl5:amd64 0.21.2-1
2024-07-23 07:14:42 remove libpsl5:amd64 0.21.2-1 <none>
2024-07-23 07:14:42 status half-configured libpsl5:amd64 0.21.2-1
2024-07-23 07:14:42 status half-installed libpsl5:amd64 0.21.2-1
2024-07-23 07:14:42 status config-files libpsl5:amd64 0.21.2-1
2024-07-23 07:14:42 status not-installed libpsl5:amd64 <none>
2024-07-23 07:14:42 status installed libreadline8:amd64 8.2-1.3
2024-07-23 07:14:42 remove libreadline8:amd64 8.2-1.3 <none>
2024-07-23 07:14:42 status half-configured libreadline8:amd64 8.2-1.3
2024-07-23 07:14:42 status half-installed libreadline8:amd64 8.2-1.3
2024-07-23 07:14:42 status config-files libreadline8:amd64 8.2-1.3
2024-07-23 07:14:42 status not-installed libreadline8:amd64 <none>
2024-07-23 07:14:42 status installed librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2
2024-07-23 07:14:42 remove librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2 <none>
2024-07-23 07:14:42 status half-configured librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2
2024-07-23 07:14:42 status half-installed librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2
2024-07-23 07:14:42 status config-files librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2
2024-07-23 07:14:42 status not-installed librtmp1:amd64 <none>
2024-07-23 07:14:42 status installed libsasl2-2:amd64 2.1.28+dfsg-10
2024-07-23 07:14:42 remove libsasl2-2:amd64 2.1.28+dfsg-10 <none>
2024-07-23 07:14:42 status half-configured libsasl2-2:amd64 2.1.28+dfsg-10
2024-07-23 07:14:42 status half-installed libsasl2-2:amd64 2.1.28+dfsg-10
2024-07-23 07:14:42 status config-files libsasl2-2:amd64 2.1.28+dfsg-10
2024-07-23 07:14:42 status not-installed libsasl2-2:amd64 <none>
2024-07-23 07:14:42 status installed libsasl2-modules-db:amd64 2.1.28+dfsg-10
2024-07-23 07:14:42 remove libsasl2-modules-db:amd64 2.1.28+dfsg-10 <none>
2024-07-23 07:14:42 status half-configured libsasl2-modules-db:amd64 2.1.28+dfsg-10
2024-07-23 07:14:42 status half-installed libsasl2-modules-db:amd64 2.1.28+dfsg-10
2024-07-23 07:14:42 status config-files libsasl2-modules-db:amd64 2.1.28+dfsg-10
2024-07-23 07:14:42 status not-installed libsasl2-modules-db:amd64 <none>
